scenario,ventes_requises,marge_securite,taux_marge_securite
Seuil de rentabilité,10879006.983238665,0.0,0.0
Prévisions année 1,12761706.581792891,1882699.5985542256,0.14752725949993792
Prévisions année 2,16071565.721325714,5192558.738087049,0.3230897865288214
Prévisions année 3,15953671.695131632,5074664.711892966,0.3180875731222132
Bénéfice net visé de 500 000 $,13486513.398825424,2607506.4155867584,0.19334177325726404
Semestre 1 réel annualisé,12644996.93536461,1765989.9521259442,0.13965918387745527
