classe,borne_inf,borne_sup,effectif,frequence,frequence_cumulee
[1.60 - 4.60[,1.5966,4.5966000000000005,3,0.013333333333333334,0.013333333333333334
[4.60 - 7.60[,4.5966000000000005,7.5966000000000005,23,0.10222222222222223,0.11555555555555555
[7.60 - 10.60[,7.5966000000000005,10.5966,38,0.1688888888888889,0.28444444444444444
[10.60 - 13.60[,10.5966,13.5966,76,0.3377777777777778,0.6222222222222222
[13.60 - 16.60[,13.5966,16.5966,54,0.24,0.8622222222222222
[16.60 - 19.60[,16.5966,19.5966,22,0.09777777777777778,0.96
[19.60 - 22.60[,19.5966,22.5966,8,0.035555555555555556,0.9955555555555555
[22.60 - 25.60[,22.5966,25.5966,1,0.0044444444444444444,1.0
