groupe,n,r,r_carre,pente,ordonnee_origine,prediction_20_55,residu_min,residu_max,ecart_type_residus
Échantillon complet,225,-0.7256313005359797,0.5265407843175373,-1.9213068029370939,47.931796936237724,8.448942135880444,-37.603620086369084,7.163325398434651,6.986773066121312
Sans les employés à zéro jour d'absence,209,-0.9482449686597002,0.8991685205884358,-1.972530008731351,50.30876844159508,9.773276762165814,-2.695454622660769,7.163325398434651,2.5535796449210237
Employés à zéro jour d'absence seulement,16,,,,,,-37.603620086369084,-12.081172646833018,6.991599565344466
