classe,effectif_observe,part_theorique,effectif_theorique,contribution_khi2
moins de 20 000 $,5,0.043100290734297886,6.465043610144683,0.33199355009110787
20 000 à 26 000 $,8,0.09603544202457898,14.405316303686847,2.8481205192124763
26 000 à 32 000 $,26,0.186271294999995,27.94069424999925,0.13479601252142306
32 000 à 38 000 $,48,0.24560345803659478,36.84051870548922,3.3803547598796584
38 000 à 44 000 $,40,0.22017064087897675,33.02559613184651,1.4728669581594214
44 000 à 50 000 $,15,0.1341825330627192,20.127379959407882,1.3061821906854385
50 000 $ et plus,8,0.07463634026283739,11.195451039425608,0.9120585949961045
